ID_tiempo,Año,Trimestre,Periodo
1,2022,1,Ene-Mar 2022
2,2021,4,Oct-Dic 2021
3,2021,3,Jul-Sept 2021
4,2021,2,Abr-Jun 2021
5,2021,1,Ene-Mar 2021
6,2020,4,Oct-Dic 2020
7,2020,3,Jul-Sept 2020
8,2020,2,Abr-Jun 2020
9,2020,1,Ene-Mar 2020
10,2019,4,Oct-Dic 2019
11,2019,3,Jul-Sept 2019
12,2019,2,Abr-Jun 2019
13,2019,1,Ene-Mar 2019
14,2018,4,Oct-Dic 2018
15,2018,3,Jul-Sept 2018
16,2018,2,Abr-Jun 2018
17,2018,1,Ene-Mar 2018
18,2017,4,Oct-Dic 2017
19,2017,3,Jul-Sept 2017
20,2017,2,Abr-Jun 2017
21,2017,1,Ene-Mar 2017
22,2016,4,Oct-Dic 2016
23,2016,3,Jul-Sept 2016
24,2016,2,Abr-Jun 2016
25,2016,1,Ene-Mar 2016
26,2015,4,Oct-Dic 2015
27,2015,3,Jul-Sept 2015
28,2015,2,Abr-Jun 2015
29,2015,1,Ene-Mar 2015
30,2014,4,Oct-Dic 2014
31,2014,3,Jul-Sept 2014
32,2014,2,Abr-Jun 2014
33,2014,1,Ene-Mar 2014
