Provincia,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Latitud,Longitud
BUENOS AIRES,25 de Mayo,23408,SI,SI,NO,SI,SI,SI,SI,SI,SI,-35.4339385892588,-60.1731209454056
BUENOS AIRES,Agustín Mosconi,280,NO,NO,NO,NO,NO,NO,SI,NO,NO,-35.7392169542026,-60.5590634621789
BUENOS AIRES,Del Valle,899,SI,NO,NO,NO,SI,NO,NO,SI,SI,-35.8973453887603,-60.7316089512944
BUENOS AIRES,Ernestina,145,SI,NO,NO,NO,NO,NO,NO,NO,NO,-35.2702340519789,-59.5575034078873
BUENOS AIRES,Gobernador Ugarte,547,NO,NO,NO,NO,NO,SI,NO,NO,NO,-35.1643973648093,-60.0813577815069
BUENOS AIRES,Lucas Monteverde,63,NO,NO,NO,NO,NO,SI,NO,NO,NO,-35.4838272164734,-59.9880647932831
BUENOS AIRES,Norberto de la Riestra,4524,NO,SI,NO,NO,NO,SI,SI,SI,SI,-35.2727788695321,-59.7719327250509
BUENOS AIRES,Pedernales,1432,SI,NO,NO,NO,NO,NO,NO,NO,SI,-35.2666085074294,-59.6306574695384
BUENOS AIRES,San Enrique,279,NO,NO,NO,NO,NO,NO,SI,NO,NO,-35.7785028686085,-60.3546454811901
BUENOS AIRES,Valdés,579,NO,NO,NO,NO,NO,NO,SI,NO,SI,-35.6488128268597,-60.4672591673156
BUENOS AIRES,12 de Octubre,219,NO,NO,NO,NO,NO,SI,SI,NO,NO,-35.607730780146,-60.9182929927645
BUENOS AIRES,9 de Julio,36494,SI,SI,SI,SI,NO,SI,SI,SI,SI,-35.4447435053964,-60.8843433362719
BUENOS AIRES,Alfredo Demarchi (Est. Facundo Quiroga),1853,SI,NO,NO,NO,NO,NO,SI,SI,SI,-35.2929819536873,-61.4072542128
BUENOS AIRES,Curarú,422,NO,NO,NO,NO,NO,NO,SI,NO,NO,-35.6403503028113,-62.1924372294866
BUENOS AIRES,Timote,526,NO,NO,NO,NO,NO,NO,SI,NO,NO,-35.3477615165229,-62.2246532791856
BUENOS AIRES,Tres Algarrobos (Est. Cuenca),3201,NO,NO,NO,NO,SI,NO,SI,SI,SI,-35.1979815144911,-62.7730814064669
BUENOS AIRES,Carmen de Areco,12775,SI,SI,SI,SI,NO,SI,SI,SI,SI,-34.3776987251735,-59.8229019801033
BUENOS AIRES,Pueblo Gouin,122,NO,NO,NO,NO,NO,SI,NO,NO,NO,-34.4951191416005,-59.8029737383366
BUENOS AIRES,Tres Sargentos,391,NO,NO,NO,NO,NO,SI,SI,NO,SI,-34.4664778301466,-60.0008697422009
BUENOS AIRES,Castelli,6859,SI,SI,NO,SI,SI,SI,SI,SI,SI,-36.091694119436,-57.8071801619355
BUENOS AIRES,Centro Guerrero,114,NO,NO,NO,SI,NO,SI,NO,NO,NO,-36.0570621940227,-57.8235422591576
BUENOS AIRES,Cerro de la Gloria,107,NO,NO,NO,SI,NO,NO,NO,SI,NO,-35.9760530599951,-57.4487354447874
BUENOS AIRES,Castilla,689,NO,NO,NO,NO,NO,SI,SI,NO,NO,-34.6131247014799,-59.9005194580559
BUENOS AIRES,Chacabuco,38418,SI,SI,SI,SI,NO,SI,SI,SI,SI,-34.6429843999409,-60.4701843504346
BUENOS AIRES,Los Angeles,54,NO,NO,NO,NO,NO,NO,NO,SI,SI,-34.4575064000002,-60.1801845132051
BUENOS AIRES,O'Higgins,1206,SI,NO,NO,SI,NO,SI,SI,SI,SI,-34.5854707868254,-60.6986325840689
BUENOS AIRES,General Juan Madariaga,18089,SI,NO,SI,SI,NO,NO,SI,SI,SI,-36.9967730012079,-57.1374769071298
BUENOS AIRES,General La Madrid,8073,SI,NO,SI,SI,NO,SI,SI,SI,SI,-37.2503992475804,-61.2595794125711
BUENOS AIRES,La Colina,663,NO,NO,NO,NO,NO,NO,SI,NO,NO,-37.3607690235166,-61.5348487870647
BUENOS AIRES,Las Martinetas,215,NO,NO,NO,NO,NO,NO,SI,NO,NO,-37.1980813542863,-61.1220424031557
BUENOS AIRES,Líbano,292,NO,NO,NO,NO,NO,NO,SI,NO,NO,-37.53362138441,-61.2865750087495
BUENOS AIRES,Pontaut,68,NO,NO,NO,NO,NO,NO,NO,SI,NO,-37.731769903374,-61.3230957170244
BUENOS AIRES,General Hornos,194,NO,NO,NO,NO,NO,NO,NO,NO,SI,-34.8937763345299,-58.9172215319327
BUENOS AIRES,General Las Heras (Est. Las Heras),11331,SI,SI,SI,NO,NO,SI,SI,SI,SI,-34.9267739074255,-58.9453407851291
BUENOS AIRES,La Choza,41,NO,NO,NO,NO,NO,NO,NO,NO,NO,-34.7829908276155,-59.1095647693247
BUENOS AIRES,Lozano,0,NO,NO,NO,NO,SI,NO,NO,NO,NO,-34.8542796259808,-59.0533451317779
BUENOS AIRES,Plomer,198,NO,NO,NO,NO,NO,NO,SI,NO,NO,-34.7941193667757,-59.0279756935744
BUENOS AIRES,Villars,1147,NO,SI,SI,SI,NO,NO,SI,NO,NO,-34.8300241949658,-58.9422589402025
BUENOS AIRES,Chacras de San Clemente,0,NO,NO,NO,NO,NO,SI,NO,NO,NO,-36.4080851872455,-56.9433553335054
BUENOS AIRES,General Lavalle,1827,NO,SI,NO,NO,SI,SI,SI,SI,SI,-36.4080851872455,-56.9433553335054
BUENOS AIRES,Pavón,942,NO,NO,NO,SI,NO,SI,NO,SI,SI,-36.7089537726649,-56.7598433617574
BUENOS AIRES,La Plata,207620,SI,SI,SI,SI,SI,SI,SI,SI,SI,-34.920863104693,-57.9540560062469
BUENOS AIRES,La Providencia,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-35.0232476,-58.2307028
BUENOS AIRES,Lisandro Olmos,0,NO,SI,NO,NO,NO,NO,NO,SI,SI,-34.9976086009747,-58.043377425691
BUENOS AIRES,Lomas de Copello,420,NO,NO,NO,NO,NO,NO,NO,NO,NO,-34.9520385659845,-57.8409385980167
BUENOS AIRES,Los Hornos,0,NO,SI,NO,SI,NO,SI,NO,SI,SI,-34.973715513981,-57.9850539062724
BUENOS AIRES,Manuel B Gonnet,0,NO,SI,NO,SI,NO,NO,NO,SI,SI,-34.8819511933447,-58.0189915342036
BUENOS AIRES,Poblet,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-35.0604581,-57.9547426
BUENOS AIRES,Ringuelet,0,NO,SI,NO,SI,NO,NO,NO,SI,SI,-34.8910544941568,-57.9913781921596
BUENOS AIRES,Rufino De Elizalde,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,-34.9710900774179,-57.9524351288235
BUENOS AIRES,ruta del sol,0,SI,NO,NO,NO,NO,NO,NO,SI,SI,-34.9437333541431,-58.1732652389706
BUENOS AIRES,ruta del sol,2312,SI,NO,NO,NO,NO,NO,NO,SI,SI,-34.9437333541431,-58.1732652389706
BUENOS AIRES,Tolosa,0,NO,SI,NO,SI,NO,NO,NO,SI,SI,-34.9007699307169,-57.9821293495972
BUENOS AIRES,Transradio,0,NO,NO,NO,NO,SI,NO,NO,SI,SI,-34.8790055541958,-58.081733864461
BUENOS AIRES,Juan N. Fernández,2721,SI,NO,NO,NO,SI,SI,SI,SI,SI,-38.0091787783017,-59.2634988347821
BUENOS AIRES,Necochea - Quequén,84784,SI,SI,SI,SI,SI,SI,SI,SI,SI,-38.5711702285697,-58.7702419838751
BUENOS AIRES,Nicanor Olivera (Est. La Dulce),2131,SI,NO,SI,NO,NO,SI,SI,SI,NO,-38.2846361959919,-59.202754253612
BUENOS AIRES,Ramón Santamarina,430,NO,NO,NO,NO,NO,NO,SI,SI,SI,-38.4503897333336,-59.3311154416146
BUENOS AIRES,Blancagrande,65,NO,NO,NO,NO,NO,NO,NO,NO,NO,-36.5328887082639,-60.8824549132602
BUENOS AIRES,Colonia Hinojo,3841,NO,NO,NO,NO,NO,NO,NO,NO,SI,-36.8800694499223,-60.1780552970612
BUENOS AIRES,Colonia Nievas,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,-36.8641370257955,-60.0816424704
BUENOS AIRES,Colonia San Miguel,902,NO,NO,NO,NO,NO,NO,NO,NO,NO,-36.9495659791886,-60.1108954083182
BUENOS AIRES,Espigas,492,NO,NO,NO,NO,NO,NO,SI,NO,NO,-36.4122732396335,-60.6730694647
BUENOS AIRES,Hinojo,3841,SI,NO,NO,NO,SI,SI,SI,SI,SI,-36.8805120719062,-60.1771940245473
BUENOS AIRES,Olavarría,89721,SI,SI,SI,SI,SI,NO,SI,SI,SI,-36.8920935788859,-60.3180046559577
BUENOS AIRES,Recalde,385,NO,NO,NO,NO,NO,NO,SI,NO,NO,-36.6515016172821,-61.0845040269815
BUENOS AIRES,Santa Luisa,40,NO,NO,NO,NO,NO,NO,NO,SI,NO,-37.1256790161133,-60.4158706665039
BUENOS AIRES,Sierra Chica,4812,NO,SI,NO,NO,NO,SI,NO,SI,SI,-36.843238222524,-60.2234271381196
BUENOS AIRES,Sierras Bayas,3849,SI,NO,SI,NO,NO,SI,SI,NO,NO,-36.9225238148372,-60.2157925414657
BUENOS AIRES,Villa Martelli,25616,SI,SI,NO,SI,NO,SI,SI,SI,SI,-34.5525979527695,-58.5091432644227
