ID_datos_tri,ID_tiempo,Accesos por cada 100 hogares,Accesos por cada 100 hab,Banda ancha fija,Dial up,Total_BA,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_tecno,Mbps (Media de bajada),Trimestre.1,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total_velo_rango,Ingresos (miles de pesos)
1,1,73.88,23.05,10611390,12619,10624009,1533240,6073426,2219533,545814,251996,10624009,55.11,Ene-Mar 2022,34890.0,104840.0,1263273.0,1209148.0,967508.0,509830.0,6336187.0,198333.0,10624009.0,51432896
2,2,73.18,22.81,10476933,12861,10489794,1657615,5984240,2072236,523107,252596,10489794,52.34,Oct-Dic 2021,41262.0,28521.0,1413208.0,1245333.0,976539.0,558358.0,6032322.0,194251.0,10489794.0,45467887
3,3,70.58,21.98,10075184,10357,10085541,1950631,5826257,1566048,492415,25019,10085541,48.46,Jul-Sept 2021,40174.0,41437.0,2550229.0,1095772.0,710122.0,536364.0,4948174.0,163269.0,10085541.0,42999944
4,4,69.24,21.55,9852702,10382,9863084,2018587,5641731,1472246,476968,253552,9863084,45.63,Abr-Jun 2021,40172.0,42024.0,2531271.0,1080279.0,693277.0,647401.0,4661291.0,167369.0,9863084.0,38239667
5,5,67.95,21.13,9637956,10016,9647972,2175211,5424782,1362976,434548,250455,9647972,43.11,Ene-Mar 2021,39487.0,41674.0,2593477.0,1072722.0,737930.0,595920.0,4379965.0,186797.0,9647972.0,36676371
6,6,67.62,21.01,9561546,10016,9571562,2213949,5371824,1311199,421554,253036,9571562,42.36,Oct-Dic 2020,39510.0,42185.0,2622638.0,1073875.0,786595.0,582420.0,4239237.0,185102.0,9571562.0,33539703
7,7,66.31,20.59,9346183,10016,9356199,2263889,5259351,1170879,413259,248821,9356199,40.67,Jul-Sept 2020,41038.0,44005.0,2637984.0,1040017.0,799350.0,538567.0,4053461.0,201777.0,9356199.0,31997445
8,8,64.21,19.92,9021040,10016,9031056,2295533,5005115,1106725,376667,247016,9031056,38.32,Abr-Jun 2020,41038.0,48690.0,2651502.0,1053107.0,807775.0,523437.0,3711499.0,194008.0,9031056.0,32102476
9,9,62.86,19.48,8802435,9991,8812426,2299457,4903674,1047817,352333,209145,8812426,37.52,Ene-Mar 2020,42550.0,56170.0,2649819.0,1022014.0,814470.0,532309.0,3500882.0,194212.0,8812426.0,29946216
10,10,62.92,19.49,8783053,10128,8793181,2414575,4883869,941295,340144,213298,8793181,28.26,Oct-Dic 2019,38272.0,28980.0,2792684.0,1046127.9999999999,851619.0,1004083.0,2831253.0,200162.0,8793181.0,24169251
